row ID	row m/z	row retention time	2019-01-14-inj-42.mzML Peak area	2019-02-10-inj-221.mzML Peak area	2019-01-17-inj-94.mzML Peak area	2019-01-28-inj-207.mzML Peak area	2019-01-15-inj-58.mzML Peak area	2019-02-13-inj-235.mzML Peak area	2019-01-21-inj-162.mzML Peak area	2019-01-21-inj-135.mzML Peak area	2019-01-28-inj-213.mzML Peak area	2019-01-16-inj-83.mzML Peak area	2019-01-14-inj-31.mzML Peak area	2019-01-21-inj-120.mzML Peak area	2019-01-28-inj-206.mzML Peak area	2019-01-21-inj-124.mzML Peak area	2019-01-21-inj-146.mzML Peak area	2019-01-15-inj-70.mzML Peak area	2019-02-13-inj-236.mzML Peak area	2019-01-17-inj-104.mzML Peak area	2019-01-13-inj-5.mzML Peak area	2019-02-10-inj-222.mzML Peak area	2019-01-23-inj-198.mzML Peak area	2019-01-13-inj-4.mzML Peak area	2019-02-10-inj-223.mzML Peak area	2019-01-23-inj-185.mzML Peak area	2019-02-10-inj-227.mzML Peak area	2019-01-23-inj-181.mzML Peak area	2019-02-13-inj-237.mzML Peak area	2019-01-15-inj-75.mzML Peak area	2019-01-13-inj-12.mzML Peak area	2019-01-21-inj-145.mzML Peak area	2019-01-13-inj-23.mzML Peak area	2019-01-13-inj-7.mzML Peak area	2019-01-14-inj-38.mzML Peak area	2019-01-23-inj-170.mzML Peak area	2019-01-13-inj-27.mzML Peak area	2019-01-17-inj-111.mzML Peak area	2019-01-15-inj-71.mzML Peak area	2019-01-13-inj-16.mzML Peak area	2019-01-17-inj-109.mzML Peak area	2019-01-15-inj-69.mzML Peak area	2019-01-28-inj-211.mzML Peak area	2019-01-15-inj-65.mzML Peak area	2019-01-17-inj-105.mzML Peak area	2019-01-28-inj-209.mzML Peak area	2019-01-21-inj-137.mzML Peak area	2019-01-15-inj-61.mzML Peak area	2019-01-14-inj-34.mzML Peak area	2019-01-21-inj-133.mzML Peak area	2019-01-15-inj-79.mzML Peak area	2019-01-16-inj-86.mzML Peak area	2019-01-28-inj-210.mzML Peak area	2019-01-15-inj-64.mzML Peak area	2019-01-21-inj-136.mzML Peak area	2019-01-14-inj-53.mzML Peak area	2019-01-17-inj-100.mzML Peak area	2019-01-14-inj-35.mzML Peak area	2019-01-15-inj-60.mzML Peak area	2019-01-21-inj-132.mzML Peak area	2019-01-15-inj-78.mzML Peak area	2019-01-16-inj-87.mzML Peak area	2019-01-15-inj-74.mzML Peak area	2019-01-21-inj-144.mzML Peak area	2019-01-17-inj-95.mzML Peak area	2019-01-13-inj-13.mzML Peak area	2019-01-13-inj-22.mzML Peak area	2019-01-13-inj-6.mzML Peak area	2019-01-17-inj-114.mzML Peak area	2019-01-23-inj-171.mzML Peak area	2019-02-10-inj-226.mzML Peak area	2019-01-14-inj-43.mzML Peak area	2019-01-21-inj-126.mzML Peak area	2019-01-13-inj-26.mzML Peak area	2019-01-21-inj-140.mzML Peak area	2019-01-15-inj-59.mzML Peak area	2019-01-14-inj-47.mzML Peak area	2019-01-17-inj-108.mzML Peak area	2019-01-15-inj-68.mzML Peak area	2019-01-15-inj-66.mzML Peak area	2019-01-28-inj-212.mzML Peak area	2019-01-17-inj-106.mzML Peak area	2019-01-14-inj-49.mzML Peak area	2019-01-13-inj-19.mzML Peak area	2019-01-14-inj-51.mzML Peak area	2019-01-21-inj-134.mzML Peak area	2019-01-17-inj-102.mzML Peak area	2019-01-21-inj-128.mzML Peak area	2019-01-15-inj-62.mzML Peak area	2019-01-14-inj-37.mzML Peak area	2019-01-21-inj-130.mzML Peak area	2019-01-13-inj-8.mzML Peak area	2019-01-16-inj-85.mzML Peak area	2019-01-13-inj-11.mzML Peak area	2019-02-13-inj-238.mzML Peak area	2019-01-15-inj-76.mzML Peak area	2019-01-13-inj-20.mzML Peak area	2019-01-14-inj-41.mzML Peak area	2019-01-17-inj-112.mzML Peak area	2019-01-13-inj-24.mzML Peak area	2019-01-21-inj-138.mzML Peak area	2019-01-13-inj-15.mzML Peak area	2019-01-21-inj-142.mzML Peak area	2019-01-15-inj-72.mzML Peak area	2019-01-14-inj-45.mzML Peak area	2019-01-16-inj-88.mzML Peak area	2019-01-13-inj-10.mzML Peak area	2019-01-15-inj-77.mzML Peak area	2019-01-13-inj-21.mzML Peak area	2019-02-10-inj-225.mzML Peak area	2019-01-21-inj-125.mzML Peak area	2019-01-21-inj-139.mzML Peak area	2019-01-13-inj-25.mzML Peak area	2019-01-21-inj-143.mzML Peak area	2019-01-13-inj-14.mzML Peak area	2019-01-15-inj-73.mzML Peak area	2019-01-14-inj-44.mzML Peak area	2019-01-14-inj-32.mzML Peak area	2019-01-15-inj-67.mzML Peak area	2019-01-17-inj-107.mzML Peak area	2019-01-14-inj-48.mzML Peak area	2019-01-13-inj-18.mzML Peak area	2019-01-21-inj-129.mzML Peak area	2019-01-17-inj-103.mzML Peak area	2019-01-14-inj-36.mzML Peak area	2019-01-15-inj-63.mzML Peak area	2019-01-14-inj-54.mzML Peak area	2019-01-13-inj-9.mzML Peak area	2019-01-21-inj-131.mzML Peak area	2019-01-16-inj-84.mzML Peak area	2019-01-21-inj-165.mzML Peak area	2019-01-23-inj-190.mzML Peak area	2019-01-21-inj-154.mzML Peak area	2019-01-23-inj-179.mzML Peak area	2019-01-23-inj-188.mzML Peak area	2019-01-23-inj-194.mzML Peak area	2019-01-21-inj-150.mzML Peak area	2019-01-21-inj-161.mzML Peak area	2019-01-23-inj-180.mzML Peak area	2019-01-21-inj-158.mzML Peak area	2019-01-23-inj-175.mzML Peak area	2019-01-21-inj-159.mzML Peak area	2019-01-23-inj-174.mzML Peak area	2019-01-21-inj-164.mzML Peak area	2019-01-21-inj-155.mzML Peak area	2019-01-23-inj-191.mzML Peak area	2019-01-23-inj-178.mzML Peak area	2019-01-23-inj-189.mzML Peak area	2019-01-21-inj-151.mzML Peak area	2019-01-23-inj-195.mzML Peak area	2019-01-21-inj-160.mzML Peak area	2019-01-23-inj-172.mzML Peak area	2019-01-23-inj-187.mzML Peak area	2019-01-23-inj-176.mzML Peak area	2019-01-23-inj-193.mzML Peak area	2019-01-21-inj-157.mzML Peak area	2019-01-23-inj-197.mzML Peak area	2019-01-21-inj-153.mzML Peak area	2019-01-21-inj-156.mzML Peak area	2019-01-23-inj-192.mzML Peak area	2019-01-21-inj-152.mzML Peak area	2019-01-23-inj-196.mzML Peak area	2019-01-21-inj-163.mzML Peak area	2019-01-23-inj-173.mzML Peak area	2019-01-23-inj-186.mzML Peak area	2019-01-23-inj-177.mzML Peak area	2019-01-14-inj-29.mzML Peak area	2019-01-28-inj-203.mzML Peak area	2019-01-23-inj-183.mzML Peak area	2019-02-10-inj-220.mzML Peak area	2019-01-13-inj-1.mzML Peak area	2019-02-13-inj-234.mzML Peak area	2019-01-21-inj-122.mzML Peak area	2019-01-21-inj-148.mzML Peak area	2019-01-15-inj-56.mzML Peak area	2019-01-16-inj-81.mzML Peak area
1	0	2.84	0	0	0	0	0	0	0	0	1.61E-08	2.01E-08	0	0	1.61E-08	0	0	0	0	1.23E-08	0	0	0	0	0	0	2.70E-09	0	0	0	0	0	0	1.27E-08	0	0	1.21E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-08	0	0	0	9.28E-09	0	0	308607066.5	0	1.56E-08	0	2.656162925	0	0	0	0	0	0	0	0	0	1.48E-08	0	0	0	0	2.17E-08	0	0	0	0	0	0	0.335786997	0	0	0	4.89E-09	1.21E-08	0	0	0	0	0	0.447212792	5.82E-09	0	0	0	1.45E-08	1.78E-09	9.38E-09	0	6.64E-09	1.52E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717361.5942	0	0	0	36500.59953	511887.3148	0	0	0
2	0	3.03	67724.65653	2089.596493	91073.9953	185549.4531	79983.87525	2435.317403	135755.1798	95012.16185	215476.1854	100368.2558	72559.31544	93958.8856	154835.0828	88593.415	118543.5733	104415.9884	2494.638275	84840.77363	16644.47433	2171.961133	191854.066	20482.98786	2308.349204	198243.9684	7985.69402	158935.483	2598.845945	129367.2561	20148.44732	191020.1219	62701.28891	18895.81885	161017.2347	92494.46022	107991.2072	51782.76768	69645.89256	16561.12256	119311.5678	60148.31244	167182.7601	176264.1239	21947.83691	1089095.342	55624.64919	78562.55702	231603.578	62026.79865	237013.3957	145976.2567	140601.2483	115260.2848	100416.7631	54075.6495	69184.16107	458563.3743	135387.4805	56874.49035	55767.64967	38320.0539	96516.03058	107962.891	88711.25937	21017.30706	739878.0866	29094.65064	82979.14424	86447.53287	4450.408596	109333.4352	137041.2573	112552.0318	83546.30444	180757.9181	123535.2194	338235.4156	831506.2626	171731.0926	299242.2317	52287.29715	49376.99733	16564.47461	41113.2257	172092.1093	80516.8741	299466.5616	35839.68483	43543.77828	83683.20053	8392.648406	52990.12141	25735.35202	2383.535263	116250.2278	15383.17652	82038.56372	50387.60927	56131.01363	541736.981	22211.17966	89258.2733	49309.15538	52873.71563	55066.1629	16129.64482	374971.407	24024.71311	3982.169183	101688.8931	137279.2307	56009.81358	66280.33217	14281.59883	83096.47877	126972.3715	57032.77559	516524.4098	550313.0134	65204.58545	23268.00165	1581183.753	103866.8024	40436.56714	86571.88599	38603.72893	29004.04961	79499.72539	57756.11701	6297464.246	38965446.69	5573990.313	8438193.287	10622426.79	26457834.78	4757643.37	10693655.21	4630662.701	9869807.285	4983318.286	32166066.24	8477560.987	12055026.13	7855735.935	9102970.313	3488268.639	41089259.79	6894587.503	28939858.41	41886878.95	36212531.13	10566493.37	21379513.18	8697306.839	8237847.547	10693641.69	7482102.992	9122881.465	9369817.112	15419446.4	8976834.459	11035117.4	14129901.9	18135108.98	60563068.75	35362.19621	91122.78895	87587.78048	2778.472432	12490.14673	3438.10133	27911.15766	53668.77243	31541.76453	23198.65036
3	0	3.03	186847.6624	1479.873355	250356.2418	19620.58814	212733.0073	1766.648724	40059.19212	15994.34568	36113.58204	172138.4821	166586.4123	246507.5593	47157.0159	15743.44508	281791.2125	202084.4721	1388.037211	230031.8685	2510.800687	1014.117396	488343.8104	7980.694431	1083.365118	26138.33817	1481.13593	579182.8423	1575.207454	14309.46204	2274.160269	32279.33499	141595.2746	308.0576924	308401.0498	28372.46577	81303.02029	5865.154788	158477.9712	494.3740157	21341.33641	333522.2394	30514.92629	189307.1334	550069.2226	34923.25876	232162.9773	389579.4533	100070.7594	496506.984	130338.0126	15176.95504	40742.35885	10833.8451	869851.7052	97668.54822	130879.6926	8622.250383	124930.465	165360.7528	167896.541	132514.1459	153203.0051	203784.5545	153604.3578	2491.177111	90073.94184	2362.677984	126546.6976	404185.3134	2218.475944	142021.5715	232429.5398	6817.589892	700645.719	124563.8915	95117.10595	142475.4978	179529.4388	219529.2782	463356.7245	127909.2903	179773.7964	494.9005712	21097.13651	13257.905	18512.17793	195188.6368	171970.1388	186988.4978	22817.08264	177.8738131	344525.6351	4111.454452	1702.955662	171575.815	3620.728086	100831.9206	19973.37681	8264.87811	241457.7767	1467.082688	267811.7533	191813.487	138873.6435	151878.6672	481.0392042	210151.6744	374.4532366	2223.792761	227115.5903	165828.9669	9126.217944	203652.2063	3594.049894	138285.3653	10435.76561	96588.11493	157698.9758	242788.3127	349297.1423	4060.365383	686463.2905	287464.247	208067.4069	173816.8605	140779.1012	365.0685134	279326.5833	2178.348163	3132128.472	19681.32112	2735656.371	3591478.41	6726766.108	32027.32691	1915685.96	5775048.165	65673.02487	10080884.15	2026750.026	0	3628686.059	10450935.28	6023957.227	3803927.465	56170.80198	19779.51149	0	15971603.59	18147107.26	14551184.91	3979150.863	9390254.861	4307080.446	5358995.522	43859.57433	1330.812663	7885071.004	4054658.323	0	7073505.46	10001430.35	4344806.749	8521.329406	0	5404.325143	19373.49854	24301.83969	2075.673741	5631.069968	2657.203212	10058.91105	30839.46981	12557.71274	13129.86573
4	0	3.08	1661124.855	161926.9715	430923.9553	6093007.909	1538197.835	101460.4999	0	647119.4274	6120252.851	1158415.997	1991700.738	37001.09359	3798323.54	4332131.26	2078006.589	14269.20688	113091.8495	323718.4634	404567.5779	162095.1046	451720.0035	381015.0479	186097.3839	3606915.992	12.34644512	71472.43174	229331.819	1591087.179	114175.7336	2183438.923	764612.7655	716843.9807	129814.8926	243744.0622	355673.0277	0	1269444.905	399859.7342	2060460.952	239679.1372	4139030.305	860757.7979	1452879.873	12792788.79	1691943.315	2570535.711	7891.533723	1992523.876	539784.2173	4861949.885	3397746.453	2584422.32	825520.3258	310755.3622	60414.48023	332069.1276	1151845.427	2365184.67	37189.47788	1629336.363	820906.2415	379885.7138	1774076.835	95327.29756	2267447.568	605277.6276	480052.83	2799574.964	185227.3278	40455.50723	1707943.888	347407.6812	1636733.107	1647329.51	2202357.488	2537730.103	1163400.946	371376.5988	1112988.359	2339354.154	1109876.161	346133.7125	0	1709806.255	0	2753933.025	694905.7248	185012.5682	192034.8074	134516.241	1594675.616	328970.1792	235332.1818	998515.855	19902.3876	374669.8822	0	455696.296	479201.0187	158799.1453	563124.6818	481615.7386	229101.844	3081406.436	56951.24202	1365912.45	524820.8523	67852.48941	1753380.629	1731040.711	272868.1876	414375.8581	35542.01352	1443189.665	44928.86807	648224.2066	1481330.519	1309519.743	534246.7673	134338.6246	1270836.77	83006.98362	499885.6887	275883.783	269404.1872	774183.7712	2312038.528	4204243.759	4152647.639	3248707.169	7387173.346	8373676.844	9216752.768	2594075.212	4449719.874	9219236.465	0	9097995.239	119302.8619	4243528.384	9105641.594	9182055.209	9161269.491	9022452.973	376359.8678	2012547.783	7769141.912	4266186.931	964018.2589	1810533.664	10088598.12	4240387.896	8511875.726	8889115.69	8209343.142	8381415.608	9868994.32	8708108.136	4598081.155	8433075.035	8466174.26	8618133.427	1765677.03	0	3821773.035	7125291.123	7949500.958	343873.5543	792127.9237	344819.9687	6174993.821	6243581.298	4258751.232	5334876.481
5	0	3.08	60195.40854	0	0	403953.4828	123363.1499	0	493090.2418	369146.9333	657937.3436	171624.0882	3574.136804	0	362048.2968	91217.99191	280121.3585	0	0	0	0	0	0	0	0	0	0	0	0	104237.4142	6434.236678	223010.0522	0	0	0	0	0	0	138729.6155	0	109063.5159	0	375580.7879	208083.1758	551036.7262	664928.1694	248680.3959	166530.0174	0	360283.2232	0	22812.8863	321923.2417	83937.52952	0	0	0	0	171286.4763	234450.1531	0	138638.2348	183554.9321	0	148015.3665	0	0	0	0	320533.2003	0	0	281410.8297	0	317167.6844	115419.2805	80928.80614	188099.8696	379235.044	0	0	154906.5769	146830.9981	0	0	161623.6142	0	192612.3638	0	0	386853.8295	0	203721.465	0	0	174503.1346	26606.50775	0	0	0	0	0	0	0	0	67275.73965	46220.15568	426195.0226	0	0	214304.0369	246953.7542	0	0	12465.55134	150986.4458	0	0	240212.6271	319280.5741	0	0	1364392.245	0	0	0	0	0	213179.7958	8829.152594	3852897.554	14645549.97	2984094.462	2759877.854	3604691.869	10462402.22	3362669.519	3851896.149	2271619.725	5017620.498	3707848.13	10579635.95	2991015.63	3866607.408	2699435.211	3208310.682	2443397.076	16700237.17	38793.22515	13775904.04	20689095.73	18264835.86	3151937.185	12625942.2	3411694.419	3601031.29	2266153.25	2086360.318	3129759.97	3296346.485	8252584.961	3306204.625	4302700.735	5697253.121	9161482.343	22091383.26	0	0	0	0	0	0	0	0	0	0
6	0	3.08	2046.633639	0	0	381031.1685	2955.658949	0	1981335.312	365438.0093	372595.2429	3641.524815	1139.06559	0	348693.2568	223623.5134	351.9845533	18.21454995	0	0	35992.52194	0	0	38202.52023	0	274012.2304	0.228245941	0	0	150823.4063	63312.39261	285089.8506	0	0	0	381619.2172	0	487631.9064	2929.632989	0	701715.6708	0	337385.0003	3441.01603	8470.893685	437964.53	5281.184298	3643.602286	91.0669835	7315.807966	0	325506.1289	276796.6418	158920.7608	0	0	0	0	2506.062934	5282.719585	0	2710.43479	3092.1928	0	3613.388103	35623.39855	0	0	0	8056.734189	0	0	5691.124683	0	6495.647336	2966.271846	3042.401686	2387.471909	4998.954667	0	0	958.5570873	2962.528907	0	173900.1174	182700.5021	439564.2685	5346.715364	0	0	657514.4421	29805.52148	4584.844033	0	0	3224.778196	21072.52152	0	197541.9648	0	0	20548.00443	0	0	0	2913.382091	98876.12587	4850.201853	0	0	4739.826875	5370.063293	0	0	133.8507039	3098.13377	343864.7758	0	4025.333068	3796.585611	0	0	19930.82974	0	0	0	0	8782.368606	4191.120153	144071.6314	48753.89903	7457898.653	39582.34384	45812.60016	57058.65066	7013645.103	0	55269.21149	1746143.046	67674.5677	50323.20642	14635432.23	48238.25535	58738.778	40644.69186	48920.31551	1125065.905	7419251.32	8178656.661	76746.59316	0	0	49173.35557	13939.39169	42138.68921	32313.50623	6321590.179	4900065.078	50281.51427	50072.40502	6176982.37	51354.7485	55555.46018	75191.41919	3136553.686	15239172.2	0	0	0	0	0	0	0	0	0	0
7	0	3.23	686650.2694	55.78011684	1618082.405	23470.31612	870336.5129	59.7639649	1575411.547	1439323.716	2015294.073	946018.5586	533190.2978	2190895.303	1637750.279	12021.10365	45822.40999	1345520.573	41.40553684	1650355.066	409566.2582	49.99221365	3049348.552	392298.584	68.60720701	28435.87341	36.53447467	3324386.98	0	669821.8754	767675.9745	46809.2181	708758.1257	574794.2737	766506.2074	1100022.943	595659.4327	1502561.097	858122.8744	360997.0681	2493421.508	1847683.505	1224282.274	747232.148	4631683.523	1352831.493	1377304.823	0	17125.1831	2057794.969	800123.6618	1031928.481	1484439.137	628555.221	6634097.344	1012261.318	1490296.519	522361.8922	460730.6023	737658.1421	1384698.768	727944.03	729361.7087	1383199.419	788355.3478	593465.5861	791538.2872	230057.0283	1203847.348	1707390.368	0	791672.5508	890786.1963	790906.0682	0	424571.6702	342284.0445	709671.0966	595504.244	809248.0283	2478414.428	717611.7933	925925.4654	330058.149	1449429.471	958226.99	1374007.409	588782.2931	974285.4716	1115331.294	2035593.077	431693.3351	1407423.877	963291.7091	326.3332963	652720.074	630591.5138	679138.5711	1140370.042	926170.2998	1110715.866	444035.2375	1790054.771	1248391.732	1068183.198	525388.9592	2213618.022	727405.1649	308109.5126	21.20393407	689971.3998	830131.4776	624314.3965	1329740.249	460340.246	676597.6867	0	536070.1436	544578.2	848851.897	1525135.032	829054.2174	557029.4851	1964783.085	1005574.69	924057.2093	1116068.991	277074.4358	1305785.311	414398.4561	501683.7821	0	501199.9434	622245.2069	563515.3543	0	387715.0902	616084.7165	1639585.144	725066.9795	966123.5791	652301.7907	650260.6348	544365.0352	608974.4906	555742.9842	1732186.678	56392.75115	520005.9355	251582.2328	203764.098	522567.9844	604853.324	240784.6689	6772.572195	562950.1264	572785.2864	560647.0332	588973.9425	542760.8977	509536.3747	561329.8718	585212.6348	614459.6528	121106.8069	164849.6663	0	84.43413841	4725.975826	0	1492.944258	0	0	1653.019301	438.449694	1396.717259
8	0	3.23	863412.5148	18.71229785	1183086.924	0	1016238.596	20.09680037	2044267.674	0	1037557.976	581460.8175	713565.0347	1189710.054	0	6525.454606	4651.930678	772448.1175	13.47716202	947294.7964	458817.049	4.678739291	0	454430.0245	43.31671096	84.18440167	15.78070944	2867332.631	0	0	876234.4943	8833.347908	475164.1892	703323.4662	1163278.949	0	167734.1706	2442892.585	572043.0317	39120.03323	0	2179424.168	0	330762.5265	8624840.83	53252.20086	1026127.957	1860788.17	94183.9784	3007700.933	43724.983	0	281514.1179	0	12784472.29	163389.792	335892.607	59304.05542	176276.585	303296.8255	548796.0362	348994.7231	239745.0175	452837.2174	328312.8285	490642.4842	942839.0241	93713.57971	277141.8203	0	0	250674.9984	248536.9483	242396.3654	4592362.665	10026.63982	12831.71185	29825.83417	49220.17611	205622.1767	801421.3856	259863.0544	764686.162	59378.17539	735389.9572	0	2077997.726	146844.9805	818348.6713	1141674.202	0	333191.4921	1651548.822	1695999.691	778.0325017	161141.1431	187900.7963	269154.7032	393436.591	905676.039	234068.5901	236232.7758	1068193.097	811445.723	389147.6026	293573.4551	4055288.423	442940.0126	12151.46169	0	505956.1681	73014.17416	276483.78	779221.0067	210290.7858	349282.9781	671068.9051	272677.3295	0	54014.42269	2118569.1	359698.4527	0	1391986.833	1249111.495	235771.123	702270.8276	0	1564447.344	0	0	24563.64158	0	0	0	0	0	0	406233.1875	0	0	0	0	0	0	0	568515.9314	46334.88167	0	0	0	0	0	0	3411.201656	0	0	0	0	0	0	0	0	0	22075.89006	10325.78763	11209.47908	0	186.5997166	1154.20852	1189.597623	11550.44734	15283.76242	16814.145	11418.54701	15315.97717
9	0	3.23	36691.65688	10.59869931	128280.6949	7759.916467	56552.42405	13.65815489	35423.08703	137656.1969	274053.2923	74675.27311	36254.97678	243949.6314	247167.5436	3442.405528	29880.99387	138496.5271	18.73388663	154568.758	26023.0525	5.244477587	371117.0326	21754.57267	3.769123918	7290.594287	0	280936.963	0	92230.61242	0	190947.9834	75458.38536	0	6143.032258	115223.5413	76491.54015	15431.92832	78990.02877	50870.66592	183337.5532	99645.2416	163032.2894	72238.85461	36803.27061	246236.5745	125486.0145	0	1390.983348	75129.54294	111704.3323	0	180870.3391	756.8871528	0	136648.4287	195142.8556	1833.823274	63521.80818	95400.97781	162633.0913	94814.15283	80478.53243	168711.4681	110187.2069	41398.84367	22675.93393	20226.64057	157948.5489	164991.2795	0	88565.87737	88396.51442	95720.00666	30915.01888	64533.85347	68335.30681	128385.1353	84163.56229	88209.49239	276692.0176	97488.51169	71554.04367	42630.62426	169020.4638	111079.4837	16419.60242	98695.67316	75546.73198	72878.1718	135052.3867	35491.22415	60433.10749	8990.962947	2729.971508	77544.34735	78827.7013	72769.53517	134227.2928	64476.43476	140068.2845	41342.53632	165888.1899	115718.3392	124399.5585	78607.78066	13042.05752	61917.78385	41075.44418	155.9593172	54434.03153	118262.1871	0	136570.2667	55280.98347	76253.59816	6432.551452	47122.32803	79680.96339	113558.7359	51754.98913	0	1588.78853	159961.2266	47502.92539	108177.3245	110976.8847	53508.66454	60255.22726	1614.022118	3040.050279	2505250.048	3467.329097	1940.928397	570.7708443	1721332.5	2903.001254	4848.775295	513016.2854	5241.361666	3889.936604	2302645.898	2964.260915	1365.118631	4119.112673	0	0	2426613.494	0	27887.08962	2688059.291	2340084.218	7570.749189	1831594.634	3689.827711	2145.320538	2978.50542	1353.679284	3903.431357	2923.894652	27031.15227	4026.633493	2150.800981	12236.38736	1566979.047	3470605.163	1345.27935	111.786801	4088.580291	55233.78517	190.5797202	57637.46196	0	0	0	0
10	0	3.23	38795.3227	1.198456216	86903.80032	0	53658.63842	1.474200153	41161.2402	0	103851.0377	51654.13937	32830.92614	119236.2373	88654.47517	156.2606022	48860.24031	68106.36139	0	82726.70394	58699.48103	0	181437.3125	29940.03794	16.70988556	0	0	187247.7135	10520.05178	0	45142.72282	42423.48532	34856.58642	0	79801.28632	175725.7185	216854.5739	0	67971.77375	11718.62283	0	112265.7662	41114.57406	22382.12281	342004.5137	33625.95487	70560.70867	0	10516.47248	149286.3757	14912.92441	0	69817.05365	0	615094.4458	0	199998.4583	257.9195175	15298.02443	35307.85228	179771.07	30591.71315	52246.04814	58455.59357	58696.96384	26443.7957	0	2557.749871	301778.6543	143166.2761	7424675.556	22226.4395	28890.13504	37412.85622	0	14302.34896	3945.587482	10284.37275	9842.09418	0	101812.718	26143.13811	44660.772	10004.39046	58572.04204	8231.194948	107119.9756	29593.90603	45118.35681	42143.92545	40515.73366	16655.7838	98558.43011	65097.23343	20932.96828	56774.53465	13670.09729	65088.3365	144541.6724	43800.0339	46842.77323	14696.23571	90554.20191	58956.84323	0	13680.72001	150673.3913	66833.28838	20296.6245	7924994.645	31244.51776	31757.9358	7873.687818	66951.16399	11295.61328	24224.35126	15150.54871	25568.11948	13365.28285	14843.07228	99477.98515	0	0	103256.0771	59716.52169	24995.09365	41684.57882	0	24357.63471	255.6532475	24173.13247	0	0	0	0	100698.0455	23652.22098	0	68288.65134	0	25675.16121	0	0	0	0	0	33749.21936	77073.30577	140404.2779	264973.5394	168459.2319	0	0	80697.32897	4678.062961	0	0	57012.77798	0	0	146023.398	0	0	0	25470.1196	259668.8039	109.2552459	0	0	0	5136.671828	3132.082818	0	18261.62306	0	0
