No,RTS,Bal
1,2.84,100
2,3.03,76
4,3.08,54
11,3.36,85
14,3.45,89
16,3.58,100
17,3.66,100
18,3.74,60
27,3.97,89
29,4.06,64
32,4.13,84
34,4.21,75
36,4.35,100
37,4.44,63
39,4.55,100
40,4.67,71
44,4.77,62
49,4.92,100
50,5.01,83
59,5.23,100
63,5.36,55
65,5.44,100
69,5.62,68
74,5.83,67
77,5.92,67
79,5.96,74
81,6.05,73
88,6.2,100
89,6.23,100
95,6.45,100
99,6.58,86
106,6.78,100
107,6.88,63
109,6.98,100
113,7.18,100
114,7.26,100
115,7.29,61
118,7.35,63
120,7.41,70
122,7.51,68
126,7.59,59
129,7.68,66
131,7.77,63
137,7.88,100
144,8,100
145,8.05,74
152,8.21,100
153,8.31,100
154,8.37,60
157,8.42,79
160,8.5,83
163,8.63,65
165,8.67,100
166,8.71,90
168,8.89,61
170,9.01,50
173,9.04,58
176,9.12,100
177,9.18,100
181,9.3,82
183,9.41,100
187,9.62,67
189,9.65,53
192,9.75,70
218,10.56,100
219,10.67,81
221,10.79,78
223,10.93,79
225,11.03,73
228,11.13,100
229,11.23,59
231,11.28,50
234,11.32,51
239,11.4,88
241,11.45,100
242,11.51,74
244,11.6,100
245,11.66,100
250,11.79,60
252,11.84,64
255,11.89,51
260,12,100
265,12.23,100
266,12.26,71
269,12.33,68
271,12.45,68
273,12.51,95
275,12.64,100
276,12.7,74
279,12.75,61
281,12.79,59
285,12.86,66
287,12.97,58
289,13.06,86
291,13.17,98
297,13.38,80
303,13.54,70
307,13.64,100
308,13.73,53
317,13.88,100
318,14.07,56
321,14.16,100
322,14.25,56
324,14.31,59
329,14.4,52
334,14.62,60
345,14.83,93
347,14.9,60
349,14.97,55
351,15.02,100
361,15.28,100
362,15.4,89
364,15.53,55
367,15.57,100
368,15.61,100
369,15.68,51
373,15.77,100
374,15.92,57
376,15.97,70
378,16.06,79
381,16.17,68
383,16.24,81
386,16.33,100
387,16.49,100
388,16.58,100
389,16.66,75
395,16.76,100
396,16.84,100
397,16.89,71
399,16.94,86
402,17.06,54
406,17.12,100
407,17.16,53
409,17.25,64
411,17.29,100
418,17.53,65
420,17.58,56
422,17.66,78
424,17.69,85
426,17.74,90
428,17.8,100
434,17.98,89
436,18.01,52
438,18.07,62
440,18.14,77
442,18.22,95
447,18.46,94
456,18.76,100
457,18.84,70
459,18.92,100
460,19.04,87
462,19.21,54
469,19.35,62
471,19.42,90
473,19.49,63
475,19.61,73
477,19.73,100
478,19.83,52
481,19.94,100
482,20.01,100
483,20.1,100
484,20.23,100
485,20.31,100
486,20.38,62
489,20.44,51
492,20.54,100
499,20.77,53
502,20.87,100
503,20.97,100
504,21.12,63
507,21.23,55
509,21.28,65
512,21.32,54
517,21.43,51
519,21.56,100
520,21.61,70
522,21.67,100
523,21.71,100
524,21.8,100
525,21.87,60
527,21.91,75
529,21.98,75
531,22.1,100
532,22.18,100
537,22.3,53
540,22.37,54
542,22.48,86
547,22.61,55
551,22.72,100
552,22.81,56
554,22.9,100
558,23.04,100
559,23.17,100
563,23.47,100
564,23.59,100
565,23.7,56
567,23.85,66
569,23.92,61
573,24.05,76
575,24.15,100
576,24.26,55
581,24.41,100
582,24.51,54
584,24.58,100
588,24.72,58
590,24.84,100
597,25.02,60
600,25.05,70
603,25.11,53
605,25.2,100
606,25.33,100
610,25.53,100
611,25.65,77
613,25.78,100
617,25.95,50
618,25.95,50
619,25.99,66
621,26.08,82
623,26.17,58
626,26.28,100
631,26.51,58
634,26.59,88
639,26.75,63
642,26.92,100
643,27.02,100
644,27.17,60
650,27.28,51
652,27.35,53
658,27.41,59
660,27.49,100
661,27.63,74
663,27.72,79
669,27.86,83
671,27.93,100
672,28.05,100
673,28.14,100
674,28.25,67
676,28.36,100
677,28.53,59
681,28.64,75
683,28.74,100
684,28.84,100
685,28.95,100
691,29.09,63
693,29.16,100
694,29.32,100
695,29.4,100
696,29.52,100
697,29.61,100
698,29.67,69
700,29.81,100
701,29.95,80
703,30.09,53
706,30.17,100
707,30.23,64
709,30.36,80
711,30.46,100
712,30.55,81
714,30.64,68
720,30.76,64
723,30.84,87
725,30.96,76
727,31.05,59
733,31.17,100
734,31.25,60
736,31.41,100
737,31.49,51
739,31.54,63
742,31.59,56
745,31.64,100
746,31.69,100
747,31.78,65
750,31.84,55
753,31.92,75
759,32.12,100
777,32.46,100
778,32.54,77
783,32.77,63
789,32.86,100
790,32.94,57
793,33.06,100
798,33.17,100
808,33.35,75
813,33.59,85
815,33.64,58
817,33.69,100
822,33.9,77
824,33.96,100
825,34.01,100
826,34.11,100
827,34.21,100
828,34.31,77
830,34.38,100
831,34.53,100
835,34.73,100
841,34.9,100
842,34.99,100
843,35.12,51
845,35.2,61
848,35.34,54
850,35.46,100
851,35.55,58
853,35.78,81
855,35.88,100
856,35.96,100
860,36.09,74
863,36.13,87
865,36.2,58
871,36.33,55
875,36.37,67
877,36.42,100
883,36.64,100
884,36.72,100
888,36.82,100
889,36.88,100
890,36.98,100
891,37.01,75
893,37.1,100
894,37.2,65
897,37.27,100
903,37.42,100
904,37.51,54
906,37.57,83
908,37.65,66
910,37.69,53
919,37.87,50
928,37.98,100
937,38.22,100
941,38.45,62
943,38.51,61
945,38.57,100
946,38.6,50
949,38.68,52
952,38.77,55
958,38.91,87
965,38.98,65
970,39.11,67
976,39.21,56
979,39.39,52
985,39.55,100
986,39.61,63
993,39.75,100
999,39.87,100
1008,40.09,79
1010,40.15,70
1015,40.36,100
1016,40.46,100
1017,40.49,63
1019,40.57,100
1020,40.69,77
1022,40.79,100
1023,40.84,72
1026,40.89,89
1028,40.99,100
1029,41.06,100
1030,41.11,50
1033,41.19,100
1034,41.31,100
1035,41.42,52
1043,41.68,100
1044,41.72,84
1046,41.84,52
1050,41.9,93
1052,41.97,100
1053,42.09,50
1054,42.09,50
1059,42.19,80
1061,42.29,100
1062,42.37,57
1064,42.43,54
1067,42.49,61
1070,42.55,60
1076,42.73,54
1084,42.9,100
1085,43,77
1087,43.13,77
1089,43.17,100
1090,43.24,56
1094,43.32,100
1099,43.55,100
1100,43.61,65
1102,43.68,85
1104,43.8,100
1105,43.91,70
1107,43.98,100
1108,44.04,65
1116,44.17,100
1117,44.3,60
1119,44.46,100
1124,44.67,50
1135,44.88,60
1154,45.22,51
1158,45.29,50
1176,45.54,54
1189,45.7,63
1192,45.73,53
1225,46.23,50
1243,46.41,100
1253,46.53,76
1255,46.59,51
1257,46.65,51
1281,47.06,52
1285,47.12,80
1287,47.15,76
1301,47.37,100
1302,47.4,100
1303,47.6,100
