ATTRIBUTE_SampleType	GNPSGROUP:Bear	GNPSGROUP:Blank	GNPSGROUP:Capuchin	GNPSGROUP:Carnivore	GNPSGROUP:CarnivorousCat	GNPSGROUP:Chimp	GNPSGROUP:Coati	GNPSGROUP:Donkey	GNPSGROUP:Elephant	GNPSGROUP:Feces	GNPSGROUP:Food	GNPSGROUP:Gibbon	GNPSGROUP:Goat	GNPSGROUP:Gorilla	GNPSGROUP:Herbivore	GNPSGROUP:Lemur	GNPSGROUP:Mandrill	GNPSGROUP:Meat	GNPSGROUP:Omnivore	GNPSGROUP:Plants	GNPSGROUP:QC	GNPSGROUP:Rhino	GNPSGROUP:Sheep	GNPSGROUP:Wolf	GNPSGROUP:Zebra	LibraryID	MQScore	RTConsensus	SumPeakIntensity	UniqueFileSourcesCount	cluster_index	componentindex	number_of_spectra	parent_mass	precursor_mass
"Feces,Blank,Food"	0.006642989	0.052255838	0.002271122	0.002660793	0.002654919	0.011912408	0.006671896	0.015729225	0.019416511	0.010324855	0.00065247	0.011322645	0.004496006	0.005720103	0.0133197	0.008527459	0.009994375	0.000338007	0.009094138	0.000734233	0.009210783	0.017294441	0.005666483	0.002693099	0.012684182	Massbank:_Ampicillin	0.97376	2.9282	1.322585919	141	1	5513	141	350.1158	350.1158
"Feces,Blank"	0.000120566	0.001685487	4.74E-05	4.48E-05	4.51E-05	0.000200617	0.000112051	0.000251967	0.000335169	0.000191558	0	0.000195405	7.94E-05	0.000103039	0.000249054	0.000145365	0.000172324	0	0.000156249	0	0.000316516	0.000337813	0.000119749	4.33E-05	0.000239463	N/A	N/A	4.1698	0.027225787	106	2	-1	106	331.2076	331.2076
"Feces,Blank,Food"	8.05E-05	0.00139962	3.02E-05	3.39E-05	3.40E-05	0.000122999	7.06E-05	0.000198693	0.000185929	0.000116312	2.92E-05	0.000141036	8.70E-05	7.58E-05	0.000151446	6.88E-05	9.82E-05	1.80E-05	9.64E-05	3.20E-05	0.000139937	0.000178928	0.000100249	3.30E-05	0.000157309	Spectral_Match_to_Tris(2-butoxyethyl)_phosphate_from_NIST14	0.934288	7.3695	0.019162733	143	3	-1	143	399.2493	399.2493
"Feces,Blank"	0.000109308	0.000747124	3.21E-05	4.15E-05	4.29E-05	0.000158376	8.21E-05	0.000174901	0.000226892	0.000143933	0	0.000145118	5.69E-05	8.35E-05	0.000185479	0.000112996	0.000132991	0	0.000123193	0	0.00015809	0.00021426	0.000114881	3.36E-05	0.00021038	N/A	N/A	7.7549	0.01820661	106	4	202	106	678.4757	678.4757
"Feces,Blank"	0.000378255	0.000271679	0.000177434	0.000188711	0.000186578	0.000801592	0.000409222	0.000746833	0.001149452	0.000694371	0	0.000620974	7.28E-05	0.000424763	0.000909418	0.000673659	0.000634759	0	0.000578789	0	0.000765465	0.001217799	0.000390533	0.00020044	0.000945186	N/A	N/A	6.5733	0.073391815	105	5	5115	105	315.2517	315.2517
"Feces,Blank"	6.09E-05	0.000417381	2.17E-05	2.11E-05	2.10E-05	9.82E-05	5.48E-05	0.000125137	0.000157281	8.70E-05	0	9.23E-05	3.33E-05	5.36E-05	0.000112345	7.25E-05	8.32E-05	0	7.63E-05	0	8.57E-05	0.000143693	4.83E-05	2.14E-05	0.000110599	N/A	N/A	4.194	0.010857744	105	6	1899	105	244.2261	244.2261
"Feces,Blank,Food"	0.000392091	0.000505472	0.000180332	0.000205541	0.000204728	0.000851619	0.000441752	0.000743816	0.001208341	0.00072698	1.88E-07	0.000679617	0.000102168	0.00044745	0.000942028	0.000717238	0.000674347	8.45E-07	0.00061583	0	0.000810297	0.001242002	0.000400438	0.000210012	0.000984737	N/A	N/A	6.5739	0.077803012	107	7	5115	107	297.2412	297.2412
"Feces,Blank"	7.01E-05	0.000671867	2.03E-05	2.81E-05	2.84E-05	0.000122807	7.50E-05	0.000158767	0.00019116	0.000112291	0	0.000102832	2.92E-05	6.11E-05	0.000146261	8.88E-05	0.000114897	0	9.66E-05	0	0.000109973	0.000174232	5.85E-05	2.64E-05	0.000166981	N/A	N/A	7.1094	0.014589712	106	8	-1	106	885.5795	443.2897
"Feces,Blank,Food"	0.000261781	0.001305206	3.41E-05	5.36E-05	5.77E-05	0.000162811	7.58E-05	0.000158787	0.000244749	0.000154133	8.55E-06	0.00021731	5.65E-05	9.43E-05	0.000178122	0.000104842	0.000139469	1.05E-06	0.00015796	1.04E-05	0.000141295	0.000212546	0.000101035	3.14E-05	0.000181181	N/A	N/A	7.834	0.021973802	132	9	-1	132	419.2754	419.2754
"Feces,Blank"	7.52E-05	0.000335379	3.31E-05	2.77E-05	2.83E-05	0.000126349	6.50E-05	0.00017438	0.000190227	0.000111728	0	0.000115381	4.52E-05	6.24E-05	0.000148063	7.69E-05	9.27E-05	0	9.26E-05	0	0.000112262	0.00019083	7.10E-05	2.40E-05	0.00015322	N/A	N/A	3.8754	0.013073062	105	10	2474	105	341.2418	341.2418
"Feces,Blank"	6.75E-05	0.000646997	2.85E-05	2.88E-05	2.94E-05	0.000117074	6.30E-05	0.000149828	0.000174905	0.000103628	0	9.93E-05	4.74E-05	6.20E-05	0.00013396	8.60E-05	0.000100841	0	8.92E-05	0	0.000105032	0.000162929	6.71E-05	2.58E-05	0.000142224	N/A	N/A	5.445	0.013580938	106	11	-1	106	254.2468	254.2468
"Feces,Blank"	0.000552586	0.001041427	0	0.000156183	0.000178996	0.000166735	0.000550186	0.001264633	0.001721832	0.000595618	0	0.000261739	0.000419194	0.000179483	0.000865472	7.20E-05	0.000408153	0	0.000357402	0	0.001019688	0.001378652	0.000469573	3.07E-05	0.000404243	N/A	N/A	2.5259	0.066457172	104	12	489	104	195.1222	195.1222
"Feces,Blank"	0	0.000295787	0	2.94E-06	3.48E-06	8.18E-06	9.55E-06	0	3.02E-05	1.34E-05	0	0	0	6.10E-06	1.66E-05	2.72E-05	1.85E-05	0	9.24E-06	0	5.89E-05	0	0	0	3.44E-05	N/A	N/A	7.0346	0.002676015	18	13	437	18	1117.7805	559.3902
"Feces,Blank,Food"	0.000118305	0.001495663	5.32E-05	7.46E-05	7.79E-05	0.000216869	0.000148587	0.000299899	0.000311858	0.000198712	1.89E-05	0.000198748	9.29E-05	0.000109996	0.000253989	0.000141412	0.000180005	1.38E-05	0.000168663	2.01E-05	0.000195663	0.000322785	0.00010887	5.69E-05	0.000275705	N/A	N/A	7.2999	0.027795398	142	14	52	142	272.2575	272.2575
"Feces,Blank"	9.31E-05	0.000884429	0	2.98E-05	2.66E-05	0.000241128	9.02E-05	0	0.000218559	0.000127171	0	0.000247564	0	0.000149371	0.000128034	0.000105484	0.000191343	0	0.000162602	0	8.61E-05	0.0002107	0	4.70E-05	6.36E-05	N/A	N/A	4.8414	0.017058285	82	15	404	82	313.1608	313.1608
"Feces,Blank"	7.66E-05	0.000690534	3.14E-05	3.18E-05	3.17E-05	0.000138137	7.00E-05	0.000172175	0.000203799	0.000125989	0	0.000136266	4.36E-05	7.33E-05	0.000165528	0.000110036	0.000111561	0	0.000104231	0	0.000150939	0.000201003	7.35E-05	3.18E-05	0.000188119	N/A	N/A	7.1425	0.016095205	106	16	-1	106	813.4935	813.4935
"Feces,Blank"	6.99E-05	0.00076761	3.08E-05	2.14E-05	2.11E-05	0.000114926	5.70E-05	0.000166405	0.000185416	0.000102199	0	9.36E-05	5.67E-05	6.19E-05	0.000135691	7.60E-05	9.35E-05	0	8.55E-05	0	0.00010535	0.000167396	6.36E-05	2.33E-05	0.000138287	N/A	N/A	5.6614	0.013955016	105	17	-1	105	413.2507	413.2507
"Feces,Blank"	0.000141273	0.000782808	0	4.73E-05	5.34E-05	0.000115058	0.000176889	0.000493495	0.000491216	0.000223806	0	0.000134272	0.000149261	8.52E-05	0.000327544	4.08E-05	0.000168911	0	0.000137194	0	0.000356884	0.000536046	0.000203177	1.37E-05	0.000206824	N/A	N/A	0.9189	0.026668021	98	18	5786	98	312.049	312.049
"Feces,Blank,Food"	0.000320071	0.000762399	2.36E-05	2.29E-05	2.26E-05	0.000423812	0.000110986	0.000489691	0.000168749	0.000170353	1.34E-05	0.000150218	0.000110223	0.000181971	0.000146393	8.19E-05	0.000229024	2.36E-05	0.00025594	9.94E-06	0.000124563	0.000152998	0.000109088	2.45E-05	0.000108969	N/A	N/A	3.0141	0.021479947	131	19	1144	131	388.2531	388.2531
"Feces,Blank"	7.79E-06	0.000327834	0	8.93E-06	1.06E-05	2.91E-05	2.11E-05	0	5.56E-05	3.30E-05	0	0	0	1.01E-05	4.48E-05	1.90E-05	3.97E-05	0	2.23E-05	0	7.50E-05	3.84E-05	0	0	7.71E-05	N/A	N/A	7.0463	0.004849301	37	20	-1	37	1083.6657	542.3329
