SUID	Adduct	charge	cluster index	Compound_Name	Compound_Source	Data_Collector	GNPSLibraryURL	GNPSLinkout_Cluster	INCHI	Instrument	Ion_Source	IonMode	Library_Class	MassDiff	MQScore	MZErrorPPM	name	number of spectra	PI	RTConsensus	RTMean	shared name	SharedPeaks	Smiles	SpectrumID	sum(precursor intensity)
523	EI	0	3	"Bis(carboxymethyl) trithiocarbonate, 2TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000944393	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""3.0"""",""""main.cluster index_upperinput"""":""""3.0""""}"""	"InChI=1S/C11H22O4S3Si2/c1-19(2,3)14-9(12)7-17-11(16)18-8-10(13)15-20(4,5)6/h7-8H2,1-6H3"	EI	EI	EI	3	370.022	0.539163	1.00E+06	3	170	NIST	3.03	3.03	3	6	C[Si](C)(C)OC(=O)CSC(=S)SCC(=O)O[Si](C)(C)C	CCMSLIB00000944393	1.83E+08
667	EI	0	4	N-Ethyl-4-propyl-4-octanamine	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00001044176	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""4.0"""",""""main.cluster index_upperinput"""":""""4.0""""}"""	"InChI=1S/C13H29N/c1-5-9-12-13(10-6-2,11-7-3)14-8-4/h14H,5-12H2,1-4H3"	EI	EI	EI	3	199.23	0.715308	1.00E+06	4	167	NIST	3.08	3.08	4	6	CCCCC(CCC)(CCC)NCC	CCMSLIB00001044176	4.09E+08
833	EI	0	5	"5-Oxoproline, 2TMS derivative"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00001043914	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""5.0"""",""""main.cluster index_upperinput"""":""""5.0""""}"""	"InChI=1S/C11H23NO3Si2/c1-16(2,3)12-9(7-8-10(12)13)11(14)15-17(4,5)6/h9H,7-8H2,1-6H3"	EI	EI	EI	3	273.122	0.69979	1.00E+06	5	94	NIST	3.08	3.08	5	6	C[Si](C)(C)N1C(CCC1=O)C(=O)O[Si](C)(C)C	CCMSLIB00001043914	2.52E+08
182	EI	0	6	6-Methylamino-9-.beta.-d-ribofuranosyl-purine-N(7)-oxide	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000940326	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""6.0"""",""""main.cluster index_upperinput"""":""""6.0""""}"""	"InChI=1S/C11H15N5O5/c1-12-9-6-10(14-3-13-9)15(4-16(6)20)11-8(19)7(18)5(2-17)21-11/h3-5,7-8,11,17-19H,2H2,1H3,(H,12,13,14)"	EI	EI	EI	3	297.107	0.670421	1.00E+06	6	107	NIST	3.08	3.08	6	7	CNC1=NC=NC2=C1[N+](=CN2C3C(C(C(O3)CO)O)O)[O-]	CCMSLIB00000940326	9.46E+07
278	EI	0	9	"2,4,6,8,9,10-Hexathiaadamantane, 1,3,5-trimethyl-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000955581	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""9.0"""",""""main.cluster index_upperinput"""":""""9.0""""}"""	"InChI=1S/C7H10S6/c1-5-8-4-9-6(2,11-5)13-7(3,10-4)12-5/h4H,1-3H3"	EI	EI	EI	3	285.911	0.728782	1.00E+06	9	157	NIST	3.23	3.23	9	7	CC12SC3SC(S1)(SC(S3)(S2)C)C	CCMSLIB00000955581	3.19E+07
840	EI	0	10	D-Mannoheptulose	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000955837	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""10.0"""",""""main.cluster index_upperinput"""":""""10.0""""}"""	"InChI=1S/C7H14O7/c8-1-3(10)5(12)7(14)6(13)4(11)2-9/h3,5-10,12-14H,1-2H2"	EI	EI	EI	3	210.074	0.758272	1.00E+06	10	127	NIST	3.23	3.23	10	6	C(C(C(C(C(C(=O)CO)O)O)O)O)O	CCMSLIB00000955837	2.36E+07
396	EI	0	12	"1-Propenyl(2,4-dimethylthien-5-yl)disulfide"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000991927	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""12.0"""",""""main.cluster index_upperinput"""":""""12.0""""}"""	"InChI=1S/C9H12S3/c1-4-5-10-12-9-7(2)6-8(3)11-9/h4-6H,1-3H3/b5-4+"	EI	EI	EI	3	216.01	0.526633	1.00E+06	12	102	NIST	3.36	3.36	12	6	C/C=C/SSC1=C(C=C(S1)C)C	CCMSLIB00000991927	1.27E+07
398	EI	0	14	"Ethane, [(ethoxymethyl)thio]-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000956891	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""14.0"""",""""main.cluster index_upperinput"""":""""14.0""""}"""	"InChI=1S/C5H12OS/c1-3-6-5-7-4-2/h3-5H2,1-2H3"	EI	EI	EI	3	120.061	0.64727	1.00E+06	14	165	NIST	3.45	3.45	14	6	CCOCSCC	CCMSLIB00000956891	4.72E+07
397	EI	0	15	"Acetamide, N,N'-ethylenebis(N-nitro-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000976117	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""15.0"""",""""main.cluster index_upperinput"""":""""15.0""""}"""	"InChI=1S/C6H10N4O6/c1-5(11)7(9(13)14)3-4-8(6(2)12)10(15)16/h3-4H2,1-2H3"	EI	EI	EI	3	234.06	0.826841	1.00E+06	15	145	NIST	3.45	3.45	15	6	CC(=O)N(CCN(C(=O)C)[N+](=O)[O-])[N+](=O)[O-]	CCMSLIB00000976117	5757129.732
399	EI	0	16	"Decane, 6-ethyl-2-methyl-"	Isolated	NIST	http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00000961253	"""https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=babcee3477644edc92a6fc2a191aded8&view=view_all_clusters_withID&show=true#{""""main.cluster index_lowerinput"""":""""16.0"""",""""main.cluster index_upperinput"""":""""16.0""""}"""	"InChI=1S/C13H28/c1-5-7-10-13(6-2)11-8-9-12(3)4/h12-13H,5-11H2,1-4H3"	EI	EI	EI	3	184.219	0.975773	1.00E+06	16	174	NIST	3.58	3.58	16	6	CCCCC(CC)CCCC(C)C	CCMSLIB00000961253	9.48E+08
