"","GNPSLinkout_Network","LibraryID","MQScore","RTConsensus","RTMean","RTStdErr","SpectrumID","SumPeakIntensity","UniqueFileSourcesCount","componentindex","number_of_spectra","parent_mass","precursor_charge","precursor_mass","sum(precursor_intensity)","V1","V2","V3","sum.precursor_intensity.","Chemical_family","Name","Notes","CF_class","CF_Dparent","CF_NrNodes","CF_subclass","CF_superclass","Compound_Name","id","stat.x","index.x","p.value_gut","groups.x","stat.y","index.y","p.value_diet","groups.y","stat.x","index.x","p.value_kt","groups.x","stat.y","index.y","p.value_host","groups.y","V1","V2","V3"
"1009_447.309_6.38","Connected","N/A","N/A",6.3804,6.3804,0,"N/A",0.017004729,43,82,43,447.309,1,447.309,0.017004729,1009,447.309,6.38,0.017004729,"Triterpenoids","Pellets-10","","no_matches","no_matches",87,"no_matches","no_matches",NA,"1009_447.309_6.38",0.964001609696443,1,0.00294,"s.Foregut",0.809551560521065,2,0.01192,"s.Herbivores",0.983142713963153,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.926993817013573,220,0.00319,"s.Goat,s.Sheep","1009","447.309","6.38"
"1028_449.324_6.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1028_449.324_6.57",0.971203870275871,1,0.00294,"s.Foregut",0.621400526119335,7,NA,"s.Carnivores,s.Herbivores,s.Omnivores",0.955823143027808,3,0.00319,"s.Cetartiodactyla",0.894180692337396,220,0.01595,"s.Goat,s.Sheep","1028","449.324","6.57"
"10281_498.304_4.368","Connected","N/A","N/A",4.3683,4.3683,0,"N/A",0.023210257,23,568,23,498.3042,1,498.3042,0.023210257,10281,498.304,4.368,0.023210257,"Peptides","Cyc. Peptide 1","Cyclic peptides based on NAP/MolNetEnhancer","no_matches","no_matches",34,"no_matches","no_matches",NA,"10281_498.304_4.368",0.635223403166024,3,1,"s.Simplegut",0.511237358145545,6,1,"s.Herbivores,s.Omnivores",0.875595035770913,5,0.00957,"s.Primates",0.932723198120592,152,0.00319,"s.Chimp,s.Gorilla","10281","498.304","4.368"
"10283_605.393_6.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10283_605.393_6.19",0.786795792469443,5,0.5439,"s.Foregut,s.Simplegut",0.962163575366106,1,0.00298,"s.Carnivores",0.786795792469443,23,0.06061,"s.Carnivora,s.Cetartiodactyla,s.Primates",0.58026183498461,244,1,"s.Hyena,s.Tiger","10283","605.393","6.19"
"10292_463.267_4.365","Connected","N/A","N/A",4.365,4.365,0,"N/A",0.018000254,27,568,27,463.2669,1,463.2669,0.018000254,10292,463.267,4.365,0.018000254,"Peptides","Cyc. Peptide 3","Cyclic peptides based on NAP/MolNetEnhancer","no_matches","no_matches",34,"no_matches","no_matches",NA,"10292_463.267_4.365",0.688247201611685,3,1,"s.Simplegut",0.540499364587127,6,1,"s.Herbivores,s.Omnivores",0.845326618573521,5,0.02233,"s.Primates",0.906603330349022,152,0.24244,"s.Chimp,s.Gorilla","10292","463.267","4.365"
"10310_481.277_4.297","Connected","N/A","N/A",4.2972,4.2972,0,"N/A",0.02805664,24,568,24,481.2775,1,481.2775,0.02805664,10310,481.277,4.297,0.02805664,"Peptides","Cyc. Peptide 4","Cyclic peptides based on NAP/MolNetEnhancer","no_matches","no_matches",34,"no_matches","no_matches",NA,"10310_481.277_4.297",0.64888568452305,3,1,"s.Simplegut",0.522232967867094,6,1,"s.Herbivores,s.Omnivores",0.874412308059826,5,0.01276,"s.Primates",0.854654095921044,229,1,"s.Gorilla,s.Mandrill","10310","481.277","4.297"
"10374_433.329_7.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10374_433.329_7.132",0.88279577905984,1,0.00882,"s.Foregut",0.854607868616843,4,0.00298,"s.Carnivores,s.Herbivores",0.880631995212215,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.606862568289366,213,1,"s.Goat,s.Jungle_cat","10374","433.329","7.132"
"10412_356.293_5.953","Connected","N/A","N/A",5.9529,5.9529,0,"N/A",0.008878892,16,762,16,356.2932,1,356.2932,0.008878892,10412,356.293,5.953,0.008878892,"Bile acids","Deoxycholic acid amide 1","Neighboring node is glycodeoxycholic acid M-2(H2O)+H, delta of 58.005 which is CO2CH2, indicating that this is deoxycholic amide. Two additional peaks are the +H and -1H2O adducts","Steroids_and_steroid_derivatives","Taurinated_bile_acids_and_derivatives",31,"Bile_acids,_alcohols_and_derivatives","Lipids_and_lipid-like_molecules",NA,"10412_356.293_5.953",0.529812942826018,3,1,"s.Simplegut",0.997986311161959,1,0.00298,"s.Carnivores",0.716864449758336,2,0.25201,"s.Carnivora",0.784054868964879,244,1,"s.Hyena,s.Tiger","10412","356.293","5.953"
"10419_392.314_5.953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10419_392.314_5.953",0.512989176042577,3,1,"s.Simplegut",0.998315709991742,1,0.00298,"s.Carnivores",0.690826663568385,2,0.40832,"s.Carnivora",0.783683547192608,244,1,"s.Hyena,s.Tiger","10419","392.314","5.953"
"10444_258.094_0.733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10444_258.094_0.733",0.796819072889596,5,0.89964,"s.Foregut,s.Simplegut",0.922752976930628,1,0.00298,"s.Carnivores",0.896848011912214,10,0.00319,"s.Carnivora,s.Cetartiodactyla",0.773282729149403,261,1,"s.Jungle_cat,s.Sand_cat","10444","258.094","0.733"
