,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,number_of_spectra,parent_mass,precursor_charge,precursor_mass,sum(precursor_intensity),V1,V2,V3,sum.precursor_intensity.,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,id,stat.x,index.x,p.value_gut,groups.x,stat.y,index.y,p.value_diet,groups.y,stat.x,index.x,p.value_kt,groups.x,stat.y,index.y,p.value_host,groups.y,V1,V2,V3
3947_399.324_7.694,Connected,N/A,N/A,7.6936,7.6936,0,N/A,0.005464386,25,2549,25,399.3241,1,399.3241,0.005464386,3947,399.324,7.694,0.005464386,Bile acids,26-oxocholest-4-en-3-one 1,"3-ketocholest-4-en-26-al based on in silico, high confidence, and manual examination of MS2. ",no_matches,no_matches,5,no_matches,no_matches,NA,3947_399.324_7.694,0.598730715,3,1,s.Simplegut,0.929935401,1,0.00298,s.Carnivores,0.720709771,2,0.68266,s.Carnivora,0.815553094,278,1,"s.Leopard,s.Tiger",3947,399.324,7.694
7625_357.277_5.815,Connected,Spectral_Match_to_3.beta.-Hydroxy-5-cholenoic_acid_from_NIST14,0.873965,5.8145,5.8145,0,CCMSLIB00003134721,0.161564035,62,1274,62,357.2772,1,357.2772,0.161564035,7625,357.277,5.815,0.161564035,Bile acids,3b-Hydroxy-5-cholenoic acid 2,NA,NA,NA,NA,NA,NA,NA,7625_357.277_5.815,0.982991003,5,0.00294,"s.Foregut,s.Simplegut",0.974151308,5,0.00298,"s.Carnivores,s.Omnivores",0.983317342,23,0.00319,"s.Carnivora,s.Cetartiodactyla,s.Primates",0.58159137,263,1,"s.Jungle_cat,s.Tiger",7625,357.277,5.815
2992_357.277_6.66,Connected,Spectral_Match_to_3.beta.-Hydroxy-5-cholenoic_acid_from_NIST14,0.862768,6.6603,6.6603,0,CCMSLIB00003134721,1.727837073,71,1274,71,357.2772,1,357.2772,1.727837073,2992,357.277,6.66,1.727837073,Bile acids,3b-Hydroxy-5-cholenoic acid 3,3.beta.-Hydroxy-5-cholenoic acid by GNPS ID.,Steroids_and_steroid_derivatives,"Dihydroxy_bile_acids,_alcohols_and_derivatives",16,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,Spectral_Match_to_3.beta.-Hydroxy-5-cholenoic_acid_from_NIST14,2992_357.277_6.66,0.961557429,5,0.00294,"s.Foregut,s.Simplegut",0.929620969,5,0.00298,"s.Carnivores,s.Omnivores",0.962496981,23,0.00319,"s.Carnivora,s.Cetartiodactyla,s.Primates",0.485127019,118,1,"s.Cape_Hunting_dog,s.Hyena",2992,357.277,6.66
820_255.21_7.717,Connected,N/A,N/A,7.7166,7.7166,0,N/A,0.013593597,37,113,37,255.2097,1,255.2097,0.013593597,820,255.21,7.717,0.013593597,Bile acids,BA 1 (m/z 255.21),"In cluster with BA 2. There's also a lithocholic acid neighbor in the cluster, but low cosine match.",Steroids_and_steroid_derivatives,"Monohydroxy_bile_acids,_alcohols_and_derivatives",45,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,NA,820_255.21_7.717,0.953882234,1,0.00588,s.Foregut,0.818743822,2,0.00894,s.Herbivores,0.970298225,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.92529805,220,0.00319,"s.Goat,s.Sheep",820,255.21,7.717
634_255.21_8.199,Connected,N/A,N/A,8.1988,8.1988,0,N/A,0.015331658,35,113,35,255.2097,1,255.2097,0.015331658,634,255.21,8.199,0.015331658,Bile acids,BA 2 (m/z 255.21),"In cluster with BA 1. There's also a lithocholic acid neighbor in the cluster, but low cosine match. ",Steroids_and_steroid_derivatives,"Monohydroxy_bile_acids,_alcohols_and_derivatives",45,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,NA,634_255.21_8.199,0.961199896,1,0.00294,s.Foregut,0.822695379,2,0.00596,s.Herbivores,0.971296667,13,0.00319,"s.Cetartiodactyla,s.Perissodactyla",0.94014688,220,0.00319,"s.Goat,s.Sheep",634,255.21,8.199
12008_373.272_4.486,Connected,Spectral_Match_to_Cholic_acid_from_NIST14,0.816466,4.4858,4.4858,0,CCMSLIB00003135149,0.014913042,28,137,28,373.2722,1,373.2722,0.014913042,12008,373.272,4.486,0.014913042,Bile acids,Cholic acid 1,NA,NA,NA,NA,NA,NA,NA,12008_373.272_4.486,0.68588619,3,1,s.Simplegut,0.897577684,1,0.00298,s.Carnivores,0.913257536,2,0.01595,s.Carnivora,0.827514391,273,1,"s.Leopard,s.Lion",12008,373.272,4.486
5764_817.578_5.649,Singleton,Spectral_Match_to_Cholic_acid_from_NIST14,0.815981,5.6488,5.6488,0,CCMSLIB00003139898,0.138080012,30,-1,30,817.5782,1,817.5782,0.138080012,5764,817.578,5.649,0.138080012,Bile acids,Cholic acid 3,NA,NA,NA,NA,NA,NA,NA,5764_817.578_5.649,0.690065559,5,1,"s.Foregut,s.Simplegut",0.825892864,1,0.00298,s.Carnivores,0.965082889,2,0.00319,s.Carnivora,0.631193391,123,1,"s.Cape_Hunting_dog,s.Lion",5764,817.578,5.649
13865_453.228_4.883,Connected,N/A,N/A,4.8825,4.8825,0,N/A,0.007028751,10,137,10,453.2285,1,453.2285,0.007028751,13865,453.228,4.883,0.007028751,Bile acids,Cholic acid 7-sulfate 1,Cholic acid 7-sulfate,Steroids_and_steroid_derivatives,"Trihydroxy_bile_acids,_alcohols_and_derivatives",88,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,NA,13865_453.228_4.883,0.418853908,3,1,s.Simplegut,0.78319776,1,0.00298,s.Carnivores,0.608580619,2,1,s.Carnivora,0.947542766,278,1,"s.Leopard,s.Tiger",13865,453.228,4.883
3846_375.288_5.828,Connected,deoxycholic_acid,0.867982,5.8282,5.8282,0,CCMSLIB00005435507,0.03032711,50,1274,50,375.2878,1,375.2878,0.03032711,3846,375.288,5.828,0.03032711,Bile acids,Deoxycholic acid 1,NA,NA,NA,NA,NA,NA,NA,3846_375.288_5.828,0.881204081,5,0.15582,"s.Foregut,s.Simplegut",0.968174093,1,0.00298,s.Carnivores,0.913096052,10,0.00319,"s.Carnivora,s.Cetartiodactyla",0.681196654,263,1,"s.Jungle_cat,s.Tiger",3846,375.288,5.828
10412_356.293_5.953,Connected,N/A,N/A,5.9529,5.9529,0,N/A,0.008878892,16,762,16,356.2932,1,356.2932,0.008878892,10412,356.293,5.953,0.008878892,Bile acids,Deoxycholic acid amide 1,"Neighboring node is glycodeoxycholic acid M-2(H2O)+H, delta of 58.005 which is CO2CH2, indicating that this is deoxycholic amide. Two additional peaks are the +H and -1H2O adducts",Steroids_and_steroid_derivatives,Taurinated_bile_acids_and_derivatives,31,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,NA,10412_356.293_5.953,0.529812943,3,1,s.Simplegut,0.997986311,1,0.00298,s.Carnivores,0.71686445,2,0.25201,s.Carnivora,0.784054869,244,1,"s.Hyena,s.Tiger",10412,356.293,5.953
12413_376.291_5.832,Connected,N/A,N/A,5.8316,5.8316,0,N/A,0.006848127,24,51,24,376.2912,1,376.2912,0.006848127,12413,376.291,5.832,0.006848127,Bile acids,Isolithocholic acid 1,"Isolithocholic acid is third node in cluster, high confidence in silico NAP ID.",no_matches,no_matches,3,no_matches,no_matches,NA,12413_376.291_5.832,0.6172134,5,1,"s.Foregut,s.Simplegut",0.988835278,1,0.00298,s.Carnivores,0.747451639,10,0.23287,"s.Carnivora,s.Cetartiodactyla",0.73174756,263,1,"s.Jungle_cat,s.Tiger",12413,376.291,5.832
19516_358.281_6.177,Connected,N/A,N/A,6.1765,6.1765,0,N/A,0.003572584,17,51,17,358.2807,1,358.2807,0.003572584,19516,358.281,6.177,0.003572584,Bile acids,Isolithocholic acid 2," [-H2O+H]. Isolithocholic acid is third node in cluster, high confidence in silico ID.",no_matches,no_matches,3,no_matches,no_matches,NA,19516_358.281_6.177,0.546118681,3,1,s.Simplegut,0.996523384,1,0.00298,s.Carnivores,0.715235408,2,0.2552,s.Carnivora,0.727764196,278,1,"s.Leopard,s.Tiger",19516,358.281,6.177
3674_359.293_7.664,Connected,lithocholic_acid,0.935749,7.6641,7.6641,0,CCMSLIB00005435551,0.062235839,57,5765,57,359.2929,1,359.2929,0.062235839,3674,359.293,7.664,0.062235839,Bile acids,Lithocholic acid 1,NA,NA,NA,NA,NA,NA,NA,3674_359.293_7.664,0.920231857,5,0.00294,"s.Foregut,s.Simplegut",0.922088761,1,0.00298,s.Carnivores,0.922119117,23,0.00319,"s.Carnivora,s.Cetartiodactyla,s.Primates",0.594959166,118,1,"s.Cape_Hunting_dog,s.Hyena",3674,359.293,7.664
12788_464.281_4.693,Connected,taurohyodeoxycholic_acid,0.797751,4.6931,4.6931,0,CCMSLIB00005435583,0.007610319,20,762,20,464.2812,1,464.2812,0.007610319,12788,464.281,4.693,0.007610319,Bile acids,Taurohyodeoxycholic acid 3,NA,NA,NA,NA,NA,NA,NA,12788_464.281_4.693,0.592348878,3,1,s.Simplegut,0.950361759,1,0.00298,s.Carnivores,0.835319268,2,0.08294,s.Carnivora,0.886444652,236,1,"s.Hyena,s.Jungle_cat",12788,464.281,4.693
1285_415.319_6.79,Connected,N/A,N/A,6.7901,6.7901,0,N/A,0.01105483,42,137,42,415.3188,1,415.3188,0.01105483,1285,415.319,6.79,0.01105483,Bile acids,THCA (C27) 1,"THCA 3a,7a,12a-trihydroxy-5ﬂ-cholestanoic acid (precursor to cholic acid in biosynthetic pathway)",Steroids_and_steroid_derivatives,"Trihydroxy_bile_acids,_alcohols_and_derivatives",88,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,NA,1285_415.319_6.79,0.785012188,1,1,s.Foregut,0.957269026,1,0.00298,s.Carnivores,0.871271407,10,0.04147,"s.Carnivora,s.Cetartiodactyla",0.75084347,278,1,"s.Leopard,s.Tiger",1285,415.319,6.79
17867_595.346_5.817,Connected,N/A,N/A,5.8169,5.8169,0,N/A,0.00910256,9,240,9,595.346,1,595.346,0.00910256,17867,595.346,5.817,0.00910256,Bile pigments,Bilirubin 1 (m/z 595.35),Based on GNPS ID in cluster,Tetrapyrroles_and_derivatives,Bilirubins,66,Bilirubins,Organoheterocyclic_compounds,NA,17867_595.346_5.817,0.343325872,3,1,s.Simplegut,0.645547956,1,0.02086,s.Carnivores,0.481356219,2,1,s.Carnivora,0.674488059,263,1,"s.Jungle_cat,s.Tiger",17867,595.346,5.817
7156_303.169_5.826,Connected,N/A,N/A,5.8265,5.8265,0,N/A,0.003413834,16,240,16,303.1688,1,303.1688,0.003413834,7156,303.169,5.826,0.003413834,Bile pigments,Bilirubin 2 (m/z 303.169),Based on GNPS ID in cluster,Tetrapyrroles_and_derivatives,Bilirubins,66,Bilirubins,Organoheterocyclic_compounds,NA,7156_303.169_5.826,0.510189015,3,1,s.Simplegut,0.911807744,1,0.00298,s.Carnivores,0.742906859,2,0.37323,s.Carnivora,0.904050214,278,1,"s.Leopard,s.Tiger",7156,303.169,5.826
14912_591.315_4.071,Connected,Spectral_Match_to_Urobilin_from_NIST14,0.877932,4.0707,4.0707,0,CCMSLIB00003137178,0.019379975,24,133,24,591.3148,1,591.3148,0.019379975,14912,591.315,4.071,0.019379975,Bile pigments,Urobilin 1 (m/z 591.315),NA,NA,NA,NA,NA,NA,NA,14912_591.315_4.071,0.616852462,3,1,s.Simplegut,0.664554829,5,0.298,"s.Carnivores,s.Omnivores",0.83785666,2,0.02552,s.Carnivora,0.614604301,235,1,"s.Hyena,s.Israeli_Wolf",14912,591.315,4.071
275_595.346_4.13,Connected,Stercobilin,0.892946,4.1295,4.1295,0,CCMSLIB00001059689,0.913621869,83,240,83,595.346,1,595.346,0.913621869,275,595.346,4.13,0.913621869,Bile pigments,Stercobilin,NA,NA,NA,NA,NA,NA,NA,275_595.346_4.13,0.889988319,7,NA,"s.Foregut,s.Hindgut,s.Simplegut",0.889988319,7,NA,"s.Carnivores,s.Herbivores,s.Omnivores",0.89833121,25,0.00638,"s.Cetartiodactyla,s.Perissodactyla,s.Primates",0.582015602,118,0.03509,"s.Cape_Hunting_dog,s.Hyena",275,595.346,4.13
5818_591.315_4.136,Connected,Spectral_Match_to_Urobilin_from_NIST14,0.863724,4.136,4.136,0,CCMSLIB00003137178,0.347989506,36,133,36,591.3148,1,591.3148,0.347989506,5818,591.315,4.136,0.347989506,Bile pigments,Urobilin 2 (m/z 591.315),NA,NA,NA,NA,NA,NA,NA,5818_591.315_4.136,0.76471221,3,0.82614,s.Simplegut,0.894326164,1,0.00298,s.Carnivores,0.989682273,2,0.00319,s.Carnivora,0.650879817,278,1,"s.Leopard,s.Tiger",5818,591.315,4.136
6353_249.123_2.703,Connected,N/A,N/A,2.7027,2.7027,0,N/A,0.007105064,17,5433,17,249.1227,1,249.1227,0.007105064,6353,249.123,2.703,0.007105064,Hormones,Cyclic 3-Hydroxymelatonin,"Cyclic 3-hydroxymelatonin, predicted from NAP",no_matches,no_matches,2,no_matches,no_matches,NA,6353_249.123_2.703,0.528810586,3,1,s.Simplegut,0.819958881,1,0.00298,s.Carnivores,0.687451066,2,0.64757,s.Carnivora,0.847219382,254,1,"s.Israeli_Wolf,s.Tiger",6353,249.123,2.703
13019_190.071_1.503,Connected,Spectral_Match_to_N-Acetyl-L-glutamic_acid_from_NIST14,0.907098,1.5027,1.5027,0,CCMSLIB00003138157,0.0184381,53,6315,53,190.0705,1,190.0705,0.0184381,13019,190.071,1.503,0.0184381,N-acyl AA,Acetyl-Glu 1 (m/z 190.071),NA,NA,NA,NA,NA,NA,NA,13019_190.071_1.503,0.955133866,3,0.00294,s.Simplegut,0.882955682,5,0.00298,"s.Carnivores,s.Omnivores",0.955133866,12,0.00319,"s.Carnivora,s.Primates",0.570004897,229,1,"s.Gorilla,s.Mandrill",13019,190.071,1.503
