sample_name	diet	digestive_strategy	HostSpecies	HostOrder	HostSpecies_taxonomy	Order_diet	Collected_by	Day	Month	Year	Type	File_polar	Polar_order	File_lipids_neg	File_lipids_pos	Lipids_order	File_VFA	VFA_order	File_GCMS	GCMS_order	File_polar.1	Sex	collection_time
Af_elephant_1	Herbivores	Hindgut	African_elephant	Proboscidea	Loxodonta_africana	Proboscidea_Herbivores	Stav+Ruthie	20	9	2016	Feces	Sample-2C3.mzXML	64	lipids-230718-neg-18.mzXML	lipids-230718-pos-18.mzXML	82	12_26_2018-inj-62	62	2019-01-17-inj-106.mzML	106	Sample-2C3	M	Delayed
Af_elephant_2	Herbivores	Hindgut	African_elephant	Proboscidea	Loxodonta_africana	Proboscidea_Herbivores	Stav+Ruthie	20	9	2016	Feces	Sample-2E7.mzXML	84	lipids-230718-neg-19.mzXML	lipids-230718-pos-19.mzXML	98	12_26_2018-inj-96	96	2019-01-21-inj-137.mzML	137	Sample-2E7	F	Delayed
Af_elephant_3	Herbivores	Hindgut	African_elephant	Proboscidea	Loxodonta_africana	Proboscidea_Herbivores	Stav+Ruthie	20	9	2016	Feces	Sample-1A8.mzXML	5	lipids-230718-neg-20.mzXML	lipids-230718-pos-20.mzXML	50	12_27_2018-inj-128	128	2019-01-14-inj-54.mzML	54	Sample-1A8	F	Delayed
As_elephant_1	Herbivores	Hindgut	Asian_elephant	Proboscidea	Elephas_maximus	Proboscidea_Herbivores	Stav+Ruthie	20	9	2016	Feces	Sample-1D4.mzXML	25	lipids-230718-neg-31.mzXML	lipids-230718-pos-31.mzXML	9	12_25_2018-inj-8	8	2019-01-13-inj-8.mzML	8	Sample-1D4	M	Delayed
As_elephant_2	Herbivores	Hindgut	Asian_elephant	Proboscidea	Elephas_maximus	Proboscidea_Herbivores	Stav+Ruthie	20	9	2016	Feces	Sample-1F8.mzXML	45	lipids-230718-neg-22.mzXML	lipids-230718-pos-22.mzXML	73	12_27_2018-inj-107	107	2019-01-15-inj-78.mzML	78	Sample-1F8	F	Delayed
As_elephant_3	Herbivores	Hindgut	Asian_elephant	Proboscidea	Elephas_maximus	Proboscidea_Herbivores	Stav	23	9	2016	Feces	Sample-2C4.mzXML	65	lipids-230718-neg-23.mzXML	lipids-230718-pos-23.mzXML	44	12_26_2018-inj-53	53	2019-01-14-inj-45.mzML	45	Sample-2C4	F	0-2hr
As_elephant_4	Herbivores	Hindgut	Asian_elephant	Proboscidea	Elephas_maximus	Proboscidea_Herbivores	Stav	23	9	2016	Feces	Sample-2E8.mzXML	85	lipids-230718-neg-24.mzXML	lipids-230718-pos-24.mzXML	111	12_26_2018-inj-76	76	2019-01-23-inj-170.mzML	170	Sample-2E8	F	0-2hr
As_elephant_5	Herbivores	Hindgut	Asian_elephant	Proboscidea	Elephas_maximus	Proboscidea_Herbivores	Stav	23	9	2016	Feces	Sample-1B1.mzXML	6	lipids-230718-neg-25.mzXML	lipids-230718-pos-25.mzXML	20	12_26_2018-inj-21	21	2019-01-13-inj-20.mzML	20	Sample-1B1	F	Delayed
Black_bear_1	Omnivores	Simplegut	Black_bear	Carnivora	Ursus_thibetanus	Carnivora_Omnivores	Stav+Ruthie	20	9	2016	Feces	Sample-1A6.mzXML	3	lipids-230718-neg-26.mzXML	lipids-230718-pos-26.mzXML	61	12_27_2018-inj-119	119	2019-01-15-inj-67.mzML	67	Sample-1A6	M	0-2hr
Black_bear_2	Omnivores	Simplegut	Black_bear	Carnivora	Ursus_thibetanus	Carnivora_Omnivores	Stav+Ruthie	20	9	2016	Feces	Sample-1D2.mzXML	23	lipids-230718-neg-27.mzXML	lipids-230718-pos-27.mzXML	34	12_26_2018-inj-33	33	2019-01-14-inj-34.mzML	34	Sample-1D2	F	Delayed
Brown_bear_1	Omnivores	Simplegut	Brown_bear	Carnivora	Ursus_arctos	Carnivora_Omnivores	Stav	23	9	2016	Feces	Sample-1F6.mzXML	43	lipids-230718-neg-28.mzXML	lipids-230718-pos-28.mzXML	83	12_26_2018-inj-63	63	2019-01-17-inj-107.mzML	107	Sample-1F6	F	Delayed
Brown_bear_2	Omnivores	Simplegut	Brown_bear	Carnivora	Ursus_arctos	Carnivora_Omnivores	Stav	29	11	2016	Feces	Sample-2C2.mzXML	63	lipids-230718-neg-29.mzXML	lipids-230718-pos-29.mzXML	99	12_26_2018-inj-97	97	2019-01-21-inj-138.mzML	138	Sample-2C2	M	0-2hr
